Local name,Distance
Aldeia do Vale,8.7
Alphaville Flamboyant Residencial Araguaia,3.8
Bairro Boa Vista,13.6
Bairro Capuava,6.6
Bairro Feliz,3.0
Bairro Floresta,12.8
Bairro Santo Hilário,6.1
Bairro São Carlos,13.6
Bairro da Vitória,12.8
Chácara Bom Retiro,13.1
Chácara Helou,11.1
Chácara Mansões Rosa de Ouro,9.5
Chácara Maria Dilce,7.8
Chácara Rio Branco,7.0
Chácara de Recreio São Joaquim,10.1
Chácara do Governador,6.3
Chácaras Alto da Glória,4.8
Chácaras Anhanguera,11.5
Chácaras Botafogo,5.1
Chácaras Califórnia,7.8
Chácaras Cidade Pompeu,14.5
Chácaras Elísios Campos,2.4
Chácaras Nossa Senhora da Piedade,8.7
Chácaras Recreio São João,14.3
Chácaras Retiro,3.4
Chácaras Samambaia,10.2
Chácaras Santa Bárbara,5.5
Chácaras Shangry-la,10.2
Chácaras São Francisco de Assis,4.0
Chácaras São José,13.5
Colônia Santa Marta,6.1
Condomínio Anhanguera,11.6
Condomínio Reserva San Marino,12.0
Condomínio Rio Branco,12.9
Condomínio Samambaia,11.1
Conjunto Caiçara,4.9
Conjunto Fabiana,6.7
Conjunto Habitacional Aruanã I,5.0
Conjunto Habitacional Aruanã II,5.4
Conjunto Habitacional Madre Germana II,19.2
Conjunto Palmares,5.7
Conjunto Primavera,16.0
Conjunto Residencial Aruanã III,5.2
Conjunto Residencial Campus,9.3
Conjunto Riviera,4.3
Conjunto Vera Cruz,13.4
Delta Village,11.4
Eixo-Anhanguera,979.0
Faiçalville,9.5
Fazenda Petrópolis - Residencial Monte Verde,9.0
Granja Cruzeiro do Sul,5.5
Jardim Abaporu,7.7
Jardim América,4.9
Jardim Ana Lúcia,6.8
Jardim Aritana,13.4
Jardim Balneário Meia Ponte,7.1
Jardim Bela Vista,6.3
Jardim Bom Jesus,7.1
Jardim Botânico,14.1
Jardim Brasil,4.4
Jardim Califórnia,4.3
Jardim Califórnia Parque Industrial,5.4
Jardim Caravelas,13.3
Jardim Caravelas 1ª Etapa,13.0
Jardim Clarissa,10.2
Jardim Colorado,9.9
Jardim Colorado Sul,9.7
Jardim Conquista,6.3
Jardim Curitiba,11.3
Jardim Diamantina,5.2
Jardim Dom Fernando I,6.7
Jardim Dom Fernando II,6.7
Jardim Europa,7.1
Jardim Florença,8.1
Jardim Gardênia,14.4
Jardim Goiàs Área I,1.8
Jardim Goiás,1.0
Jardim Gramado,6.5
Jardim Guanabara,7.8
Jardim Guanabara II,8.1
Jardim Guanabara III,7.9
Jardim Guanabara IV,8.4
Jardim Lageado,7.6
Jardim Lago Azul,9.7
Jardim Liberdade,11.9
Jardim Maria Helena,7.7
Jardim Mariliza,7.8
Jardim Marques de Abreu,12.2
Jardim Nova Esperança,7.5
Jardim Novo Mundo,2.1
Jardim Novo Mundo Extensão,3.0
Jardim Novo Mundo II,3.9
Jardim Petrópolis,8.7
Jardim Pompéia,7.2
Jardim Presidente,11.5
Jardim Santa Cecília,6.9
Jardim Santo Antonio,5.4
Jardim São José,14.0
Jardim São José I,14.3
Jardim São Judas Tadeu,6.8
Jardim Vista Bela,10.8
Jardim da Luz,5.2
Jardim das Esmeraldas,4.0
Jardim das Hortências,10.2
Jardins Lisboa,14.4
Jardins Madri,12.0
Jardins Madri Complemento,12.0
Jarins França,9.0
Lorena Parque,11.1
Loteamento Aruanã Park,5.7
Loteamento Estâncias Vista Alegre,11.1
Loteamento Granjas Brasil,7.4
Loteamento Mansões Goianas,6.1
Loteamento Panorama Parque,4.4
Loteamento Recanto Barravento,8.1
Loteamento Recreio Panorama,8.1
Loteamento Solange Parque Complemento,11.0
Loteamento Solange Parque III,11.1
Loteamento Tropical Verde,9.4
Loteamento Tupynambá dos Reis,8.1
Negrão de Lima,2.6
Osvaldo Rosa,2.9
Park Lozandes,3.0
Parque Acalanto,6.5
Parque Aeronáutico Antônio Sebba Filho,11.1
Parque Amazonas,6.0
Parque Amazonia,5.9
Parque Balneário,7.8
Parque Eldorado Oeste,16.0
Parque Eldorado Oeste Extensão,16.6
Parque Flamboyant,7.2
Parque Industrial Paulista,8.8
Parque Industrial de Goiânia,2.5
Parque Maracanã,13.2
Parque Paraíso,11.1
Parque Santa Cruz,6.7
Parque Santa Maria,5.6
Parque Santa Rita,12.7
Parque das Amendoeiras,6.7
Parque das Flores,6.2
Parque das Nações,7.1
Parque dos Buritis,14.3
Parque dos Cisnes,11.8
Portal Santa Rita,11.7
Residencial 14 Bis,10.7
Residencial Alice Barbosa,9.1
Residencial Alice Barbosa I,9.3
Residencial Alphaville Flamboyant,4.6
Residencial Ana Clara,16.1
Residencial Anglo,9.6
Residencial Antônio Barbosa,9.9
Residencial Antônio Carlos Pires,14.8
Residencial Aruanã,6.3
Residencial Aruanã Complemento,6.2
Residencial Atalaia,9.9
Residencial Balneário,7.6
Residencial Bela Goiânia,10.7
Residencial Belo Horizonte,8.4
Residencial Bertim Belchior II,16.9
Residencial Brisas da Mata,10.4
Residencial Brisas do Cerrado,10.4
Residencial Buena Vista I,16.8
Residencial Buena Vista II,16.6
Residencial Buena Vista III,15.5
Residencial Buena Vista IV,14.9
Residencial Carla Cristina,11.7
Residencial Carlos de Freitas,5.7
Residencial Cléa Borges,5.4
Residencial Costa Paranhos,8.8
Residencial Della Penna,13.8
Residencial Della Penna Extensão,13.9
Residencial Elizene Santana,9.9
Residencial Estrela Dalva,11.8
Residencial Felicidade,8.1
Residencial Fonte das Águas,14.8
Residencial Forteville,13.9
Residencial Forteville Extensão,14.2
Residencial Green Park,12.9
Residencial Guanabara,8.1
Residencial Guarema,5.6
Residencial Hugo de Morais,6.2
Residencial Humaitá,6.4
Residencial Itamaracá,5.9
Residencial Itália,7.9
Residencial Jardim Belvedere,8.3
Residencial Jardim Helou,10.6
Residencial Jardins do Cerrado 1,17.1
Residencial Jardins do Cerrado 2,17.0
Residencial Jardins do Cerrado 3,17.4
Residencial Jardins do Cerrado 4,18.3
Residencial Jardins do Cerrado 6,18.5
Residencial Jardins do Cerrado 7,19.3
Residencial José Viandeli,7.4
Residencial João Paulo II,9.3
Residencial Junqueira,13.3
Residencial Juscelino Kubitschek,14.7
Residencial Licardino Ney,7.9
Residencial Luana Park,11.6
Residencial Luana Park Extensão,11.8
Residencial Lucy Pinheiro,8.9
Residencial Lírios do Campo,16.4
Residencial Mansões Paraíso,11.2
Residencial Mar Del Plata,7.9
Residencial Maratá,10.9
Residencial Maria Lourença,7.6
Residencial Maringá,10.0
Residencial Mirante,8.6
Residencial Monte Pascoal,15.2
Residencial Montes Claros,8.7
Residencial Morada do Bosque,9.4
Residencial Morada do Ipê,9.9
Residencial Morumbi,4.1
Residencial Mundo Novo 2,17.1
Residencial Mundo Novo 3,17.8
Residencial Olinda,5.3
Residencial Orlando de Morais,13.2
Residencial Ouro Preto,8.3
Residencial Park Solar,12.5
Residencial Parque Mendanha,8.8
Residencial Petrópolis,10.3
Residencial Portal do Oriente,14.6
Residencial Privé Itanhangá,11.7
Residencial Real Conquista,17.4
Residencial Recanto das Emas,13.1
Residencial Recreio Panorama,7.7
Residencial Rio Jordão,8.5
Residencial Rio Verde,13.4
Residencial Senador Albino Boaventura,8.1
Residencial Solar Ville,12.3
Residencial Sonho Dourado,6.0
Residencial Sonho Verde,4.1
Residencial Sonho Verde Complemento,4.1
Residencial São Geraldo,9.2
Residencial São Leopoldo,8.4
Residencial Vale da Serra,9.4
Residencial Vale do Araguaia,4.8
Residencial Vale dos Sonhos I,9.9
Residencial Village Santa Rita I,12.4
Residencial Village Santa Rita II,12.3
Residencial Village Santa Rita III,12.1
Residencial Ytapuã,14.8
Residencial das Acácias,7.4
Residencial dos Ipês,9.2
Santa Genoveva,3.6
Santa Genoveva II,6.7
Serrinha,4.7
Setor Aeroporto,1.4
Setor Alto da Glória,3.9
Setor Alto do Vale,8.9
Setor Asa Branca,9.1
Setor Bela Vista,3.2
Setor Bueno,3.2
Setor Campinas,4.2
Setor Castelo Branco,4.2
Setor Central,122.0
Setor Cândida de Morais,8.5
Setor Empresarial,7.0
Setor Estrela Dalva,10.9
Setor Jaó,3.3
Setor Leste Universitário,478.0
Setor Leste Vila Nova,979.0
Setor Marista,2.3
Setor Morada do Sol,9.5
Setor Morais,3.0
Setor Negrão de Lima,2.6
Setor Noroeste,7.1
Setor Norte Ferroviário,2.2
Setor Norte Ferroviário II,2.6
Setor Nova Suiça,4.2
Setor Nova Vila,2.2
Setor Novo Horizonte,8.3
Setor Novo Planalto,10.9
Setor Oeste,2.0
Setor OrientVille,12.9
Setor Parque Tremendão,10.8
Setor Pedro Ludovico,4.4
Setor Perim,5.5
Setor Recanto das Minas Gerais,7.7
Setor Santos Dumont,8.9
Setor Solar Santa Rita,11.8
Setor Urias Magalhães,4.1
Setor dos Funcionarios,3.6
Solange Parque Complemento,11.0
Solange Parque Extensão,11.5
Solange Parque I,11.4
Solange Parque III,11.1
Sítio Recreio Panorama,7.5
Sítio de Recreio Caraíbas,13.0
Sítio de Recreio Ipê,8.2
Sítio de Recreio Mansões do Campus,12.3
Sítio de Recreio Pindorama,12.4
Sítio de Recreio São Geraldo,9.7
Sítio de Recreio dos Bandeirantes,15.7
Vale dos Sonhos II,9.1
Vila Abajá,4.0
Vila Bandeirantes,2.6
Vila Boa,8.7
Vila Clemente,4.8
Vila Colemar Natal e Silva,2.4
Vila Concórdia,7.0
Vila Cristina,5.8
Vila Divino Pai Eterno,5.6
Vila Finsocial,8.4
Vila João Vaz,6.4
Vila Maria Dilce,6.0
Vila Maria Luíza,3.2
Vila Maria Rosa,7.6
Vila Mariana,8.4
Vila Martins,4.9
Vila Martins Extensão,4.9
Vila Matilde,6.8
Vila Mauá,7.0
Vila Morais,3.1
Vila Mutirão I,12.4
Vila Mutirão II,12.2
Vila Nossa Senhora Aparecida,4.1
Vila Pedroso,7.5
Vila Redenção,4.4
Vila Regina,8.6
Vila Rica,24.7
Vila Rizzo,13.6
Vila Romana,2.4
Vila Roriz,4.5
Vila Santa Cruz,8.7
Vila Santa Isabel,2.4
Vila Santa Maria - Extensão,5.0
Vila Viana,2.6
Vilage Atalaia,9.5
Vilage Casa Grande,7.4
Village Santa Rita,12.5
Ville de France,9.8
Zona Industrial Pedro Abrão,6.2
Água Branca,3.7
